"Id","s0"
1,203122.413446993
2,191321.99239463
3,218154.336747107
4,177422.376201696
5,305579.297717265
6,159304.134592599
7,268722.235467085
8,217715.392950404
9,134903.976862705
10,120678.770347898
11,125249.760362492
12,371132.423030401
13,122966.895390323
14,220824.784972961
15,149919.140488567
16,127562.28382316
17,156976.103205482
18,108913.114456143
19,159728.722420194
20,121771.977667289
21,311247.472098901
22,130620.379069724
23,231748.559610862
24,131952.025740723
25,147147.427557288
26,255722.103436574
27,130151.799092863
28,289726.856221995
29,185587.414210965
30,65468.4995811835
31,89562.7283596255
32,133000.92356249
33,195875.208393357
34,166999.550796168
35,290135.800817964
36,297361.5343462
37,143030.573209295
38,152319.53657183
39,130124.894260939
40,81489.0913552189
41,145604.915300858
42,167764.626416036
43,138957.356077926
44,127362.0656
45,134907.661787559
46,307192.393999929
47,248400.620918824
48,246265.049077684
49,102104.096835567
50,125584.626800113
51,176995.573673332
52,117666.301915013
53,102698.371773317
54,351556.359766284
55,125529.668891208
56,165928.627368258
57,196760.691544694
58,194241.434368196
59,413763.186641224
60,119504.400749682
61,178212.563949081
62,99642.6247364113
63,219960.334319107
64,144168.132982731
65,221885.189459855
66,295265.205221601
67,237156.042760423
68,210422.436835186
69,82450.6035792333
70,210094.644639273
71,267073.133109754
72,119308.473439755
73,186116.310650943
74,146100.618851558
75,102167.351507831
76,94456.8182012909
77,117606.498347908
78,117808.288768145
79,124306.562015695
80,116070.448450796
81,194868.63706866
82,170670.076735796
83,243307.269276102
84,123130.295579568
85,162688.812200839
86,274984.704924138
87,180252.903080171
88,155708.388621533
89,71407.7515557976
90,120762.237669429
91,98076.6226621356
92,119858.021927923
93,144318.015355763
94,169281.751575082
95,192361.554954966
96,190344.091680446
97,210373.910979136
98,110948.734663254
99,84487.8351783133
100,117498.196336026
101,213570.173240445
102,170719.138058707
103,125808.83871933
104,181211.523399346
105,156472.244676399
106,245526.201008924
107,98896.4441339864
108,97112.0544363261
109,110003.66157207
110,205530.842434418
111,149091.952008082
112,171337.120481356
113,321007.079200601
114,221216.943843852
115,223755.55964592
116,162261.851285754
117,122559.194755101
118,140718.55159171
119,294906.084074122
120,175656.500761021
121,168334.908300216
122,97129.7944609682
123,142406.295110099
124,162165.254520886
125,176591.856928522
126,93642.6618512118
127,129984.086078705
128,93300.1232064123
129,144070.72283635
130,141468.158747834
131,219706.832591879
