"Id","SalePrice"
1,208860.093352942
2,185811.476543726
3,222269.566764928
4,145363.200153392
5,237871.673413653
6,148126.842613306
7,326985.570370082
8,201056.299954962
9,126199.391153921
10,119800.76316003
11,128684.254226621
12,304057.190780688
13,136910.024256214
14,257029.51943547
15,154577.870894019
16,130968.923588184
17,153186.241422667
18,100352.104938845
19,158590.096025501
20,127201.224024827
21,344826.269874875
22,135247.108973716
23,221335.122686741
24,131834.093733685
25,152450.051097106
26,249921.298434554
27,132833.494495616
28,312872.11037818
29,207973.727753726
30,63822.5676218896
31,60649.3434436874
32,141434.004517187
33,182617.29267555
34,167395.983521052
35,291172.653276691
36,308297.39472238
37,148684.345545155
38,153471.360735742
39,117577.533873718
40,82061.5279556675
41,149508.620342659
42,171146.258034863
43,148272.244227383
44,130468.890811159
45,144761.185866958
46,305379.223008277
47,246061.161111664
48,240939.999279672
49,103963.545270091
50,128573.920617894
51,181135.567434374
52,117093.709148378
53,104231.945620693
54,400461.837840612
55,126528.10385991
56,173793.393508807
57,177007.984207865
58,196411.926895432
59,430508.762272552
60,122128.989705481
61,164593.579023685
62,100060.063994971
63,205387.392116067
64,130101.688486738
65,227219.573874216
66,311564.433362599
67,174251.648230811
68,220396.61749961
69,77456.8776662452
70,227431.07372783
71,233333.375142053
72,126666.749765317
73,191818.550659575
74,143275.756654023
75,106812.240757062
76,88169.5404294978
77,129466.450815659
78,117964.77455564
79,133096.389763807
80,113227.252669953
81,196881.797523221
82,163717.947988572
83,245636.664316031
84,128214.174208999
85,165564.99891732
86,250210.800410122
87,174540.784083565
88,158796.69202065
89,71527.1896572212
90,123756.537784367
91,103806.092782032
92,103441.035794281
93,159586.432010263
94,132615.375091979
95,204302.337748719
96,187400.336876918
97,222235.085625817
98,105800.556580743
99,77582.4833564963
100,126205.122994255
101,209227.878937014
102,174431.233138745
103,116582.289502766
104,200406.88411067
105,165910.688355909
106,248443.387747508
107,94140.9708388707
108,106880.494042525
109,117851.648094556
110,191382.282301878
111,137405.844066736
112,174708.457898842
113,390033.179212614
114,209662.465558191
115,259775.440710321
116,176033.550347793
117,129579.287708461
118,146044.935214448
119,339989.32066427
120,166005.176158486
121,177664.354118793
122,99226.4537837213
123,142341.665327694
124,159158.828222757
125,173537.664352415
126,87264.0004284231
127,128853.793744442
128,88176.1142673095
129,152614.374728981
130,146163.021398243
131,223300.420094212
132,226400.257814883
133,154994.521574966
134,224266.89550081
135,178824.8637965
136,177275.809738281
137,147243.048506935
138,163851.978445071
139,227752.263245906
140,223016.952355398
141,108267.125378098
142,262708.67820296
143,145534.066569651
144,210773.973717472
145,130375.203723551
146,124702.543644992
147,104305.21764808
148,221236.30427681
149,150002.315242221
150,110478.548918075
151,129340.713801464
152,379301.575525263
153,186509.89007144
154,230235.957141845
155,115217.342733621
156,82770.7196761404
157,113979.070700688
158,262737.819952239
159,238352.87041696
160,320344.939238013
161,166570.309197481
162,399082.132844862
163,225725.142256951
164,94735.1861114015
165,147397.979377823
166,126731.578305607
167,191445.366288364
168,322665.794101809
169,191277.260119931
170,231023.239898274
171,123616.144315828
172,213510.041769898
173,226186.258772773
174,159925.622245589
175,189069.507586331
176,245089.79431429
177,215382.675021146
178,177091.267360963
179,546671.476726317
180,103257.962555491
181,178817.791011798
182,199330.605655862
183,121904.256565237
184,195987.266189862
185,124311.931733142
186,582850.698097446
187,176935.712171945
188,125219.51631362
189,146246.452372323
190,270488.609887346
191,338072.751145853
192,182314.434940154
193,196761.234973864
194,135225.940791569
195,123225.722809764
196,148032.91859618
197,328147.946872503
198,230215.74317845
199,107695.129139045
200,278655.891263877
201,141533.507321395
202,171966.480678581
203,112626.988435578
204,145999.287412642
205,109737.827915278
206,177033.103285824
207,137529.011747858
208,138291.537125919
209,277954.684177109
210,149710.99265857
211,90603.6566117858
212,182957.607252492
213,254603.980786427
214,155470.127925481
215,159562.982716779
216,135330.377742777
217,206707.528302747
218,97340.1620795071
219,323435.982112901
220,169154.033478732
221,203393.159056267
222,206597.588784297
223,179533.398128126
224,106441.171656798
225,329606.066578619
226,101258.032833291
227,275388.099375611
228,101404.57334885
229,119337.263353388
230,194978.874218985
231,144299.175731014
232,434123.648140621
233,93596.4197838363
234,129918.342209829
235,218941.855027915
236,89702.4205215868
237,186088.673266964
238,192854.452438257
239,310932.674660649
240,115827.267533755
241,263766.122320328
242,107186.498463669
243,86326.349701633
244,127660.742341777
245,212978.939686685
246,233285.598368856
247,138412.451549185
248,144211.164241712
249,186342.868685177
250,252285.791360715
251,73206.984809156
252,229791.022297004
253,181111.064631683
254,161577.090626142
255,145265.627498439
256,224540.733235132
257,206629.121057042
258,217591.947627883
259,220182.240103642
260,97025.032405253
261,174183.828721462
262,252257.913475358
263,156001.818330855
264,126404.021273986
265,77387.5132720402
266,178007.984185819
267,185707.159867258
268,181654.513128346
269,115772.561528417
270,150437.231262515
271,253977.275424455
272,234799.820567106
273,266602.968517488
274,147216.961503385
275,124987.83403301
276,201679.665885731
277,200900.500509778
278,128131.498102713
279,426247.483936271
280,198082.052809517
281,224794.170921368
282,182912.48442934
283,224797.634325594
284,249691.812266746
285,183262.436130134
286,163479.636594906
287,163639.834845598
288,94974.3427627619
289,115104.71806782
290,142695.645563978
291,222208.846300962
292,132207.848843884
293,126659.269302101
294,231780.66578092
295,163539.60429769
296,147114.137970705
297,146448.293422015
298,236969.975281772
299,177306.033867603
300,156574.089343213
301,160154.11893551
302,266493.767997269
303,214415.87668795
304,141587.48507324
305,301495.405639675
306,304628.595831572
307,220899.916029977
308,96349.1984020131
309,93226.3711478746
310,349245.196047357
311,178864.968102434
312,134534.932381741
313,122320.319547135
314,362942.266547629
315,178242.187260897
316,187924.371206581
317,258247.131072573
318,265810.057766621
319,244142.810926983
320,193099.661747437
321,334171.52102215
322,364437.305841777
323,312792.25277178
324,125533.062108335
325,235551.687597168
326,90060.2100007352
327,348531.562624784
328,147781.964374912
329,196247.369449816
330,79852.5626586769
331,130623.398164913
332,135948.072098959
333,263116.171325891
334,204023.143729973
335,195138.843540774
336,225674.688247678
337,358193.346403392
338,215733.83560258
339,203981.652591767
340,151771.823841811
341,206058.886195441
342,78195.105292366
343,87465.4438852117
344,265183.873162035
345,86664.0866389837
346,134616.532201726
347,148041.996739175
348,162827.228868513
349,165739.385552845
350,413683.272716824
351,303080.536331553
352,187939.110558066
353,95007.6189731715
354,102843.857919451
355,145281.478134878
356,175635.0965126
357,170768.893211302
358,134477.075597601
359,127804.265877854
360,283257.964920502
361,153816.901974718
362,137539.190519394
363,204971.756126462
364,116138.379467451
365,193604.358291719
366,136549.501362958
367,163810.390180607
368,166208.087338001
369,137002.370586951
370,165856.143916703
371,178305.066383407
372,134643.778204129
373,122125.963527757
374,123358.980542899
375,209779.998349654
376,58971.2083998113
377,147252.813810442
378,353639.350600314
379,427716.993723874
380,181652.350051096
381,134610.58774786
382,194465.410878126
383,204652.314297677
384,77167.4058561154
385,233320.991080551
386,187318.897010614
387,78105.1627658217
388,128679.461878785
389,191564.124552485
390,387442.858024972
391,123419.221702855
392,216970.882170641
393,108437.597200831
394,84596.5880301637
395,107813.582447516
396,125877.350536602
397,122029.156246445
398,160176.299955543
399,70241.7192568335
400,231517.494650677
401,239340.932356747
402,178486.565953984
403,106025.204059647
404,257551.9769465
405,172824.304827134
406,147563.647895068
407,121880.663643177
408,177218.459020242
409,289249.003248159
410,321654.837428708
411,76447.4177677825
412,144007.307014373
413,220937.876016104
414,110987.591443758
415,225939.172760428
416,182212.238438773
417,155336.262414756
